id,observed_on,quality_grade,latitude,longitude,scientific_name,common_name
1218594,2015-02-07,research,35.7806325072,-82.5386383658,Magnolia macrophylla,bigleaf magnolia
2862502,2016-03-31,research,35.38765842,-81.1144775777,Magnolia macrophylla,bigleaf magnolia
4085130,2016-09-10,research,35.3637248261,-81.1195052002,Magnolia macrophylla,bigleaf magnolia
4374701,2016-10-15,research,35.2585010847,-81.0978973414,Magnolia macrophylla,bigleaf magnolia
5664070,2017-04-12,research,35.2546610327,-81.1550793372,Magnolia macrophylla,bigleaf magnolia
5803290,2017-04-17,research,35.6845453093,-78.6865272745,Magnolia macrophylla,bigleaf magnolia
5881281,2017-04-15,research,35.8094114525,-78.7017728542,Magnolia macrophylla,bigleaf magnolia
6171339,2017-05-11,research,35.2778073976,-81.1140498191,Magnolia macrophylla,bigleaf magnolia
6201598,2017-05-13,research,35.3431422666,-81.0321958491,Magnolia macrophylla,bigleaf magnolia
6432752,2017-05-14,research,35.743229789,-78.725957907,Magnolia macrophylla,bigleaf magnolia
7325798,2017-07-31,research,35.279675791,-82.582330766,Magnolia macrophylla,bigleaf magnolia
7524054,2017-08-16,research,35.397968884,-81.1791495107,Magnolia macrophylla,bigleaf magnolia
8094836,2017-08-04,research,35.4179660316,-81.1902333315,Magnolia macrophylla,bigleaf magnolia
10734844,2018-04-09,research,35.1591112397,-78.9840020948,Magnolia macrophylla,bigleaf magnolia
11760385,2018-04-29,research,35.753355766,-78.6129291225,Magnolia macrophylla,bigleaf magnolia
12301968,2018-05-07,needs_id,35.9094006144,-78.6712452713,Magnolia macrophylla,bigleaf magnolia
12301970,2018-05-07,research,35.9741156225,-78.708391034,Magnolia macrophylla,bigleaf magnolia
13129905,2018-06-04,research,36.1692295752,-78.8282878374,Magnolia macrophylla,bigleaf magnolia
14846903,2018-04-22,needs_id,35.2935518674,-81.1321669889,Magnolia macrophylla,bigleaf magnolia
17465039,2018-10-13,research,34.9732730933,-80.6345008683,Magnolia macrophylla,bigleaf magnolia
17673339,2018-10-20,research,35.496819518,-82.4656837405,Magnolia macrophylla,bigleaf magnolia
17832465,2018-10-25,research,35.7803729392,-78.7317723786,Magnolia macrophylla,bigleaf magnolia
18330269,2018-11-10,research,35.761665535,-81.574788312,Magnolia macrophylla,bigleaf magnolia
19381162,2018-07-22,research,35.9982124501,-81.0376781609,Magnolia macrophylla,bigleaf magnolia
21843562,2019-03-31,research,35.3931288755,-81.015340925,Magnolia macrophylla,bigleaf magnolia
23419959,2019-04-27,research,35.741818782,-78.6916497951,Magnolia macrophylla,bigleaf magnolia
23694367,2019-04-28,research,35.2708234694,-80.6737497727,Magnolia macrophylla,bigleaf magnolia
23905776,2019-04-24,research,35.635606817,-80.906402668,Magnolia macrophylla,bigleaf magnolia
24046570,2019-04-29,research,35.7202124833,-81.4900412249,Magnolia macrophylla,bigleaf magnolia
24302442,2019-05-01,research,35.5363891453,-82.5811002114,Magnolia macrophylla,bigleaf magnolia
24318771,2019-05-01,research,35.3539005491,-80.7600642536,Magnolia macrophylla,bigleaf magnolia
24676738,2019-05-06,research,35.2295653733,-80.9251894777,Magnolia macrophylla,bigleaf magnolia
24789488,2019-05-08,research,35.7754868707,-79.6130477094,Magnolia macrophylla,bigleaf magnolia
24902863,2019-05-10,research,35.3337786458,-81.1004972232,Magnolia macrophylla,bigleaf magnolia
25360503,2019-05-18,research,35.9241243603,-78.695114754,Magnolia macrophylla,bigleaf magnolia
25410029,2019-05-19,research,35.6512582456,-82.4795431013,Magnolia macrophylla,bigleaf magnolia
26665689,2019-06-08,research,35.257441876,-81.0874734753,Magnolia macrophylla,bigleaf magnolia
27158196,2019-06-17,research,35.816471862,-80.8154029009,Magnolia macrophylla,bigleaf magnolia
27357264,2019-06-02,research,34.9541814329,-80.4296303615,Magnolia macrophylla,bigleaf magnolia
27508918,2019-06-23,research,36.2488226912,-81.7502015311,Magnolia macrophylla,bigleaf magnolia
29693451,2019-07-27,research,35.8984769973,-81.8775081473,Magnolia macrophylla,bigleaf magnolia
31397605,2019-08-24,research,35.677339133,-80.421685794,Magnolia macrophylla,bigleaf magnolia
33371144,2019-09-25,research,35.6789012752,-82.1061913054,Magnolia macrophylla,bigleaf magnolia
34253766,2019-10-12,research,35.7281951881,-80.8887218772,Magnolia macrophylla,bigleaf magnolia
34545862,2019-10-18,research,35.3325925146,-80.7555760178,Magnolia macrophylla,bigleaf magnolia
34545869,2019-10-18,research,35.3363830938,-80.6712218741,Magnolia macrophylla,bigleaf magnolia
35748178,2019-11-16,research,35.4809333353,-82.5040651209,Magnolia macrophylla,bigleaf magnolia
36436257,2019-12-07,research,35.0260622752,-78.8112132113,Magnolia macrophylla,bigleaf magnolia
40309891,2020-03-20,research,35.0265992308,-80.97509547,Magnolia macrophylla,bigleaf magnolia
43080388,2020-04-24,research,35.3012645498,-81.0094076594,Magnolia macrophylla,bigleaf magnolia
44586972,2020-05-02,research,35.3162795637,-81.1282310282,Magnolia macrophylla,bigleaf magnolia
44770255,2020-05-03,research,35.2475964054,-81.0609047765,Magnolia macrophylla,bigleaf magnolia
45506398,2020-05-10,needs_id,35.9434039441,-78.6945399954,Magnolia macrophylla,bigleaf magnolia
45801712,2020-05-13,research,35.330332551,-80.6535911902,Magnolia macrophylla,bigleaf magnolia
46450142,2020-05-17,research,35.710711613,-79.6334505716,Magnolia macrophylla,bigleaf magnolia
48014746,2020-05-31,research,35.3567969594,-81.0650667908,Magnolia macrophylla,bigleaf magnolia
48036228,2020-05-31,needs_id,35.2612499757,-81.1342587198,Magnolia macrophylla,bigleaf magnolia
48719397,2020-06-04,research,35.5639810938,-82.4617101731,Magnolia macrophylla,bigleaf magnolia
48960912,2020-06-08,research,35.8262489005,-82.7356694183,Magnolia macrophylla,bigleaf magnolia
48960981,2020-06-08,research,35.8880877369,-82.7763858937,Magnolia macrophylla,bigleaf magnolia
48961497,2020-06-08,research,35.82935231,-82.6819600857,Magnolia macrophylla,bigleaf magnolia
48961578,2020-06-08,research,35.9126867476,-82.7406421816,Magnolia macrophylla,bigleaf magnolia
49025718,2020-06-09,research,35.884415404,-82.499907348,Magnolia macrophylla,bigleaf magnolia
50802636,2020-06-24,research,35.3215599354,-81.0521406661,Magnolia macrophylla,bigleaf magnolia
51379213,2020-06-29,research,35.2016141038,-83.982581736,Magnolia macrophylla,bigleaf magnolia
52499863,2020-07-09,research,35.3121856591,-80.9180387844,Magnolia macrophylla,bigleaf magnolia
53202797,2020-07-15,research,35.7563024476,-78.7981164232,Magnolia macrophylla,bigleaf magnolia
55632284,2020-08-05,research,35.7995246274,-78.7084724669,Magnolia macrophylla,bigleaf magnolia
56407136,2014-05-14,research,35.3272501545,-81.1509730118,Magnolia macrophylla,bigleaf magnolia
57674938,2020-08-26,research,35.3699460171,-81.1470371471,Magnolia macrophylla,bigleaf magnolia
63830605,2020-10-30,research,35.9660602573,-78.7567075726,Magnolia macrophylla,bigleaf magnolia
66184852,2018-05-04,research,35.237817617,-81.0471714629,Magnolia macrophylla,bigleaf magnolia
66184972,2018-11-04,research,35.3169664839,-81.1499138006,Magnolia macrophylla,bigleaf magnolia
66241138,2008-04-26,research,35.3147835527,-81.0551924507,Magnolia macrophylla,bigleaf magnolia
66488673,2020-12-12,research,35.3657252759,-81.0002114994,Magnolia macrophylla,bigleaf magnolia
66587504,2020-10-24,research,35.3050366467,-80.7723496782,Magnolia macrophylla,bigleaf magnolia
