id,observed_on,quality_grade,latitude,longitude,scientific_name,common_name
3213,2009-07-25,research,35.703163147,-82.3747711182,Kalmia latifolia,mountain laurel
66006,2012-04-15,research,35.321434021,-80.9772720337,Kalmia latifolia,mountain laurel
97574,2012-06-24,research,36.0414647304,-79.0000779846,Kalmia latifolia,mountain laurel
303615,2010-06-15,research,35.821015,-82.356391,Kalmia latifolia,mountain laurel
362948,2013-08-11,research,35.766164,-82.042374,Kalmia latifolia,mountain laurel
502934,2013-05-11,research,35.694937,-82.387223,Kalmia latifolia,mountain laurel
529517,2014-02-02,research,35.610906,-82.49269,Kalmia latifolia,mountain laurel
539993,2014-02-23,research,36.065647,-79.117379,Kalmia latifolia,mountain laurel
595063,2008-05-31,research,35.191013,-82.623614,Kalmia latifolia,mountain laurel
670939,2014-05-10,research,35.545277,-82.370224,Kalmia latifolia,mountain laurel
677865,2014-05-13,research,35.758784,-81.877567,Kalmia latifolia,mountain laurel
677868,2014-05-13,research,35.760095,-81.875833,Kalmia latifolia,mountain laurel
680331,2014-05-16,research,35.464507,-78.899521,Kalmia latifolia,mountain laurel
686008,2014-05-19,research,35.588728,-82.476575,Kalmia latifolia,mountain laurel
696444,2014-05-24,research,35.544248,-82.370714,Kalmia latifolia,mountain laurel
713881,2014-06-02,research,35.717803,-82.279537,Kalmia latifolia,mountain laurel
722861,2012-05-29,research,35.079023,-83.235557,Kalmia latifolia,mountain laurel
763932,2014-06-27,research,35.3276783333,-82.8787916667,Kalmia latifolia,mountain laurel
836301,2010-05-21,research,35.067204,-83.215356,Kalmia latifolia,mountain laurel
1471382,2015-05-03,research,36.184717,-78.55699,Kalmia latifolia,mountain laurel
1491976,2015-05-15,research,35.1578721667,-82.996505,Kalmia latifolia,mountain laurel
1496341,2015-05-08,research,35.6225666667,-82.2791133333,Kalmia latifolia,mountain laurel
1502923,2015-05-16,research,36.065133,-79.122475,Kalmia latifolia,mountain laurel
1505694,2015-05-17,research,35.544555,-82.371033,Kalmia latifolia,mountain laurel
1507386,2015-05-18,research,36.070893,-78.928406,Kalmia latifolia,mountain laurel
1509159,2015-05-18,research,35.2040269,-81.30125197,Kalmia latifolia,mountain laurel
1526471,2015-05-22,research,36.38620066,-80.27906629,Kalmia latifolia,mountain laurel
1541222,2015-05-13,research,36.08185761,-79.00461075,Kalmia latifolia,mountain laurel
1545097,2015-05-25,research,36.322354,-81.367974,Kalmia latifolia,mountain laurel
1555713,2015-05-24,research,35.07703,-83.86407,Kalmia latifolia,mountain laurel
1575458,2015-06-01,research,36.265689,-80.493411,Kalmia latifolia,mountain laurel
1610852,2015-06-08,research,36.08998679,-81.83538086,Kalmia latifolia,mountain laurel
1619865,2015-06-11,research,36.08580082,-81.84611064,Kalmia latifolia,mountain laurel
1634604,2015-06-13,research,36.390958,-81.571496,Kalmia latifolia,mountain laurel
1640410,2015-06-16,research,35.6979783333,-82.3853,Kalmia latifolia,mountain laurel
1669296,2015-06-09,research,36.1337971667,-81.733605,Kalmia latifolia,mountain laurel
1675006,2015-06-16,research,36.09411146,-81.83191906,Kalmia latifolia,mountain laurel
1726101,2015-07-04,research,36.1197379511,-81.7948582583,Kalmia latifolia,mountain laurel
1730412,2015-06-17,research,35.168358,-83.127766,Kalmia latifolia,mountain laurel
1749105,2015-06-14,research,35.700061,-82.379844,Kalmia latifolia,mountain laurel
1817953,2015-07-29,research,35.1635055556,-83.0138638889,Kalmia latifolia,mountain laurel
2006898,2015-09-07,research,35.085694,-78.873109,Kalmia latifolia,mountain laurel
2354197,2011-05-15,research,35.094771,-82.94755,Kalmia latifolia,mountain laurel
2549294,2016-01-03,research,35.7363605965,-79.1081528553,Kalmia latifolia,mountain laurel
2558974,2015-12-22,research,36.158194,-81.748222,Kalmia latifolia,mountain laurel
2558981,2015-12-22,research,36.158194,-81.748222,Kalmia latifolia,mountain laurel
2630564,2016-01-30,research,35.5893295678,-82.3399084435,Kalmia latifolia,mountain laurel
2630596,2016-01-30,research,35.5889450705,-82.3396582822,Kalmia latifolia,mountain laurel
2631134,2016-01-30,research,35.5893666667,-82.3401333333,Kalmia latifolia,mountain laurel
2795696,2016-03-17,research,35.4919283333,-82.61477,Kalmia latifolia,mountain laurel
2855289,2016-03-29,research,36.2469666667,-77.8831777778,Kalmia latifolia,mountain laurel
2859991,2016-03-31,research,35.4921333333,-82.605545,Kalmia latifolia,mountain laurel
2917219,2016-04-09,research,35.0279376051,-83.4893257824,Kalmia latifolia,mountain laurel
2974585,2016-04-19,research,36.0621293402,-78.9670492151,Kalmia latifolia,mountain laurel
3020380,2016-04-23,research,36.064475,-78.9744333333,Kalmia latifolia,mountain laurel
3020875,2016-04-23,research,36.064475,-78.9744333333,Kalmia latifolia,mountain laurel
3064752,2016-04-30,research,36.0499807,-78.98559459,Kalmia latifolia,mountain laurel
3119590,2016-05-07,research,35.0189518277,-83.125575157,Kalmia latifolia,mountain laurel
3119766,2016-05-07,research,35.0251488202,-83.1482673996,Kalmia latifolia,mountain laurel
3120289,2016-05-07,research,35.618938,-79.15785348,Kalmia latifolia,mountain laurel
3191199,2016-05-14,research,35.351828,-83.861084,Kalmia latifolia,mountain laurel
3216315,2016-05-19,research,35.1916923,-82.6225277,Kalmia latifolia,mountain laurel
3222957,2016-05-20,research,35.5872833776,-83.0755906832,Kalmia latifolia,mountain laurel
3224701,2016-05-20,research,35.2714883333,-82.4513666667,Kalmia latifolia,mountain laurel
3224876,2016-05-20,research,35.2731046267,-82.4531297666,Kalmia latifolia,mountain laurel
3235971,2016-05-20,research,35.647254,-82.297817,Kalmia latifolia,mountain laurel
3257040,2016-05-21,research,36.0842304491,-79.0211875924,Kalmia latifolia,mountain laurel
3272695,2016-05-22,research,35.464507,-78.899521,Kalmia latifolia,mountain laurel
3274516,2016-05-22,research,35.3399805213,-81.1284315773,Kalmia latifolia,mountain laurel
3303600,2016-05-25,research,35.1320305,-82.730095,Kalmia latifolia,mountain laurel
3333694,2016-05-29,research,35.3236470837,-82.2186166049,Kalmia latifolia,mountain laurel
3342325,2016-04-18,research,36.1875333333,-78.55452,Kalmia latifolia,mountain laurel
3385858,2016-05-22,research,36.3330098211,-80.47562785,Kalmia latifolia,mountain laurel
3386033,2016-06-04,research,35.4960986488,-82.6099834239,Kalmia latifolia,mountain laurel
3390442,2016-06-04,research,35.9002761841,-81.8894424438,Kalmia latifolia,mountain laurel
3408728,2016-06-04,research,35.9002761841,-81.8897247314,Kalmia latifolia,mountain laurel
3419832,2016-06-09,research,36.3405599445,-80.4749216606,Kalmia latifolia,mountain laurel
3419840,2016-06-09,research,36.3406665624,-80.4748600536,Kalmia latifolia,mountain laurel
3472277,2016-05-19,research,35.827139973,-81.9205103805,Kalmia latifolia,mountain laurel
3482476,2016-06-19,research,35.5636133333,-82.7860416667,Kalmia latifolia,mountain laurel
3564151,2016-06-28,research,35.7535130556,-82.2783469444,Kalmia latifolia,mountain laurel
3633704,2016-06-28,research,35.7572322778,-82.2687702222,Kalmia latifolia,mountain laurel
3646579,2016-07-04,research,35.7045017369,-82.3777989206,Kalmia latifolia,mountain laurel
3753695,2016-07-26,research,36.2487111111,-81.4553527778,Kalmia latifolia,mountain laurel
3772747,2016-06-20,research,35.4663066667,-82.62898,Kalmia latifolia,mountain laurel
3812975,2016-05-31,research,35.5595092773,-83.3126220703,Kalmia latifolia,mountain laurel
3815502,2016-06-01,research,35.7689928,-82.2657503,Kalmia latifolia,mountain laurel
3831152,2016-05-14,research,35.2680383333,-82.4478833333,Kalmia latifolia,mountain laurel
3866774,2014-05-22,research,35.5077443395,-82.0044501055,Kalmia latifolia,mountain laurel
3873005,2016-07-28,research,36.3952722222,-81.5573416667,Kalmia latifolia,mountain laurel
3891626,2016-08-14,research,35.58659,-83.0723866667,Kalmia latifolia,mountain laurel
3907966,2016-08-15,research,35.586745,-83.0754633333,Kalmia latifolia,mountain laurel
3921023,2016-08-19,research,35.50376,-83.154606,Kalmia latifolia,mountain laurel
