id,observed_on,quality_grade,latitude,longitude,scientific_name,common_name
97578,2012-06-24,research,35.768381,-78.667862,Pyrus calleryana,Callery pear
603890,2014-04-01,research,35.939,-79.053,Pyrus calleryana,Callery pear
603969,2014-03-29,research,35.938129,-79.05324,Pyrus calleryana,Callery pear
906894,2014-10-02,research,35.611249,-82.569647,Pyrus calleryana,Callery pear
1170437,2014-10-22,research,35.723224,-79.189639,Pyrus calleryana,Callery pear
1170486,2014-10-22,research,35.723224,-79.189639,Pyrus calleryana,Callery pear
1308499,2015-03-19,research,35.81168,-78.71393,Pyrus calleryana,Callery pear
1338593,2015-03-25,research,35.547973,-82.472059,Pyrus calleryana,Callery pear
2337296,2015-10-17,research,36.46414,-76.0243016667,Pyrus calleryana,Callery pear
2448162,2015-12-03,needs_id,36.0728649314,-79.8134583132,Pyrus calleryana,Callery pear
2448423,2015-12-03,research,36.0726116606,-79.8088294233,Pyrus calleryana,Callery pear
2557365,2016-01-02,research,35.669855,-81.221471,Pyrus calleryana,Callery pear
2782108,2016-03-14,needs_id,35.5653480208,-82.5755086542,Pyrus calleryana,Callery pear
2789846,2016-03-14,research,35.8138430878,-78.7118129329,Pyrus calleryana,Callery pear
2860607,2016-03-30,research,35.6453181503,-82.298569415,Pyrus calleryana,Callery pear
3908432,2015-03-18,needs_id,35.3790126647,-80.9156531096,Pyrus calleryana,Callery pear
4216448,2016-09-27,research,35.909081907,-79.0549837612,Pyrus calleryana,Callery pear
4268916,2016-10-04,research,35.9127795417,-79.0570312925,Pyrus calleryana,Callery pear
4518177,2016-11-05,needs_id,35.8926361111,-79.0597611111,Pyrus calleryana,Callery pear
4653362,2016-10-23,research,35.5073883333,-80.977555,Pyrus calleryana,Callery pear
4653759,2016-11-23,research,35.8999783333,-79.0411138333,Pyrus calleryana,Callery pear
5119274,2017-02-15,needs_id,35.688823,-81.190333,Pyrus calleryana,Callery pear
5151660,2017-02-21,research,35.8117622772,-78.7171156567,Pyrus calleryana,Callery pear
5200115,2017-02-28,research,35.9589989777,-80.1210909849,Pyrus calleryana,Callery pear
5307176,2017-03-12,research,35.616155,-82.322797,Pyrus calleryana,Callery pear
5323050,2017-03-13,needs_id,35.698781,-82.636592,Pyrus calleryana,Callery pear
5410170,2017-03-15,research,35.698781,-82.636592,Pyrus calleryana,Callery pear
5726348,2017-04-15,needs_id,35.8082816762,-78.718072557,Pyrus calleryana,Callery pear
5787395,2017-04-17,needs_id,35.76817374,-78.6778852,Pyrus calleryana,Callery pear
5801670,2017-04-17,research,35.67755016,-78.62508763,Pyrus calleryana,Callery pear
5838768,2017-04-18,research,35.8882864363,-78.6232920885,Pyrus calleryana,Callery pear
5885287,2017-04-14,needs_id,35.7650783,-78.6817104,Pyrus calleryana,Callery pear
6710762,2017-06-18,research,35.9218611243,-79.0553027765,Pyrus calleryana,Callery pear
7682711,2017-08-27,needs_id,36.136698355,-78.7134305947,Pyrus calleryana,Callery pear
7683079,2017-08-27,research,36.1502803071,-78.7325176132,Pyrus calleryana,Callery pear
7703501,2017-08-29,research,35.7841163292,-78.6770883335,Pyrus calleryana,Callery pear
7703509,2017-08-29,needs_id,35.7839741651,-78.677093871,Pyrus calleryana,Callery pear
7704011,2017-08-29,research,35.7841299582,-78.6772039338,Pyrus calleryana,Callery pear
7704137,2017-08-29,research,35.7840320841,-78.6769855768,Pyrus calleryana,Callery pear
7953321,2017-09-16,research,35.46319493,-82.51550428,Pyrus calleryana,Callery pear
8170728,2017-09-29,research,35.9096102603,-79.0557124839,Pyrus calleryana,Callery pear
8326109,2017-10-09,needs_id,35.8814866667,-79.0841833333,Pyrus calleryana,Callery pear
8453862,2017-10-18,needs_id,35.7311687619,-78.4467789531,Pyrus calleryana,Callery pear
8539694,2017-10-18,research,35.7312333444,-78.4467449226,Pyrus calleryana,Callery pear
8591702,2017-10-28,research,35.9561610455,-79.016810814,Pyrus calleryana,Callery pear
8601375,2017-10-18,needs_id,35.7310064882,-78.4459978436,Pyrus calleryana,Callery pear
8763719,2017-11-11,needs_id,35.9127515043,-79.0933618136,Pyrus calleryana,Callery pear
8805770,2017-11-04,research,35.658494,-82.693993,Pyrus calleryana,Callery pear
8933032,2017-11-25,research,36.1650106058,-80.349557835,Pyrus calleryana,Callery pear
8941356,2017-11-26,needs_id,36.5288,-76.621855,Pyrus calleryana,Callery pear
8941515,2017-11-26,needs_id,36.5287783333,-76.6218866667,Pyrus calleryana,Callery pear
9234479,2017-12-16,research,35.184103458,-80.7958388329,Pyrus calleryana,Callery pear
9970700,2018-02-23,research,35.9731033333,-78.5130833333,Pyrus calleryana,Callery pear
9978214,2018-02-24,research,35.8106168587,-78.716042731,Pyrus calleryana,Callery pear
9988820,2018-02-25,research,35.9648466667,-78.94438,Pyrus calleryana,Callery pear
9994074,2018-02-25,needs_id,35.98841226,-75.64454988,Pyrus calleryana,Callery pear
10020638,2018-02-24,research,35.6292174943,-78.8179547713,Pyrus calleryana,Callery pear
10031318,2018-02-28,research,35.7540200092,-81.1188161094,Pyrus calleryana,Callery pear
10031319,2018-02-28,research,35.7540165726,-81.1188002677,Pyrus calleryana,Callery pear
10031323,2018-02-28,research,35.7540223562,-81.118829772,Pyrus calleryana,Callery pear
10031324,2018-02-28,research,35.7540347195,-81.1188479607,Pyrus calleryana,Callery pear
10031325,2018-02-28,research,35.7540004794,-81.118841339,Pyrus calleryana,Callery pear
10042689,2018-03-01,research,35.7846153388,-81.238997765,Pyrus calleryana,Callery pear
10074641,2018-02-27,research,36.1423484184,-80.2802431583,Pyrus calleryana,Callery pear
10118363,2018-03-06,research,35.5431309,-83.0080061,Pyrus calleryana,Callery pear
10282585,2018-03-17,research,35.7481022021,-78.6812630296,Pyrus calleryana,Callery pear
10316702,2018-03-19,needs_id,35.8304061451,-80.186513329,Pyrus calleryana,Callery pear
10316772,2018-03-17,needs_id,35.8120812735,-80.075103667,Pyrus calleryana,Callery pear
10327712,2018-03-15,research,35.63313,-82.55648,Pyrus calleryana,Callery pear
10430577,2018-03-01,needs_id,35.3637657166,-80.6245422363,Pyrus calleryana,Callery pear
10782020,2018-04-11,research,35.729360492,-78.5331182555,Pyrus calleryana,Callery pear
10807388,2018-04-03,needs_id,35.696125,-82.5590833333,Pyrus calleryana,Callery pear
11136805,2018-03-19,needs_id,36.1407029949,-80.298302233,Pyrus calleryana,Callery pear
11489224,2018-04-27,research,35.7799518993,-78.6688635126,Pyrus calleryana,Callery pear
11493787,2018-04-27,needs_id,35.366071783,-80.5929927043,Pyrus calleryana,Callery pear
11499867,2018-04-27,needs_id,35.77604955,-78.73288531,Pyrus calleryana,Callery pear
11511071,2018-04-27,research,35.0111566577,-78.7937917561,Pyrus calleryana,Callery pear
11512273,2018-04-27,research,35.7813122822,-78.6708579865,Pyrus calleryana,Callery pear
11543892,2018-04-27,research,35.7786466667,-78.704995,Pyrus calleryana,Callery pear
11606027,2018-04-28,research,35.7831742801,-78.6643434875,Pyrus calleryana,Callery pear
11606937,2018-04-28,research,35.7830165327,-78.6636044551,Pyrus calleryana,Callery pear
11665901,2018-04-28,research,35.8705060417,-78.7300915551,Pyrus calleryana,Callery pear
11691881,2018-04-27,needs_id,36.0564962606,-78.8746145066,Pyrus calleryana,Callery pear
11762775,2018-04-29,research,35.79308946,-78.47075242,Pyrus calleryana,Callery pear
11776771,2018-04-29,needs_id,35.8507506922,-80.1925434732,Pyrus calleryana,Callery pear
11799976,2018-04-29,research,35.4129033333,-80.60388,Pyrus calleryana,Callery pear
11816518,2018-04-29,research,35.67642215,-78.62713615,Pyrus calleryana,Callery pear
11892569,2018-04-30,research,35.5293016171,-78.9216941776,Pyrus calleryana,Callery pear
11918044,2018-04-30,needs_id,35.3101619007,-80.5960694981,Pyrus calleryana,Callery pear
11931790,2018-04-30,research,36.0086088401,-78.9033630956,Pyrus calleryana,Callery pear
11952704,2018-04-30,research,35.6260511538,-78.9329995774,Pyrus calleryana,Callery pear
11970599,2018-04-30,research,35.8509714509,-78.7424093392,Pyrus calleryana,Callery pear
12078705,2018-04-30,research,35.9033545296,-77.7379670376,Pyrus calleryana,Callery pear
12308873,2018-05-09,research,35.5746382708,-82.5707933307,Pyrus calleryana,Callery pear
12522049,2018-04-27,needs_id,35.7711375671,-82.1351332441,Pyrus calleryana,Callery pear
12786249,2018-05-24,research,34.8969452232,-80.7040774526,Pyrus calleryana,Callery pear
12938683,2018-05-29,research,35.7113081624,-78.8246743276,Pyrus calleryana,Callery pear
13436137,2018-03-26,research,35.0181721667,-78.2733466667,Pyrus calleryana,Callery pear
13450291,2018-06-13,research,35.90448,-78.7043,Pyrus calleryana,Callery pear
13516702,2018-06-17,needs_id,34.4674133333,-77.4754033333,Pyrus calleryana,Callery pear
14105094,2018-07-06,research,35.3743066,-80.8846507,Pyrus calleryana,Callery pear
14353793,2018-03-29,research,35.9236065828,-79.1881009378,Pyrus calleryana,Callery pear
14953709,2018-07-30,needs_id,35.6230332423,-82.6244404447,Pyrus calleryana,Callery pear
16186327,2018-09-03,needs_id,35.787260245,-81.2304846182,Pyrus calleryana,Callery pear
16984053,2018-09-27,needs_id,35.732289642,-82.1178781173,Pyrus calleryana,Callery pear
17198064,2018-10-04,research,35.9278640747,-79.0538787842,Pyrus calleryana,Callery pear
17222837,2018-10-05,needs_id,35.83287689,-78.83734361,Pyrus calleryana,Callery pear
17248561,2018-10-06,needs_id,35.2383871191,-81.020209808,Pyrus calleryana,Callery pear
17445449,2018-10-12,research,35.904086167,-79.0149274003,Pyrus calleryana,Callery pear
17446577,2018-10-12,needs_id,35.7674780768,-81.3439003006,Pyrus calleryana,Callery pear
17453224,2018-10-12,research,35.9251759447,-79.053976882,Pyrus calleryana,Callery pear
17597914,2018-10-17,needs_id,35.4029707783,-77.9452861549,Pyrus calleryana,Callery pear
17658378,2018-10-19,research,36.2117750198,-79.7959071212,Pyrus calleryana,Callery pear
17915303,2018-10-28,research,35.9207193,-79.0555248,Pyrus calleryana,Callery pear
18059021,2018-11-03,research,35.2081848588,-80.7662072965,Pyrus calleryana,Callery pear
18096597,2018-11-04,needs_id,35.7668404235,-81.3415158168,Pyrus calleryana,Callery pear
18173220,2018-11-06,research,35.9030599287,-78.9331952949,Pyrus calleryana,Callery pear
18220631,2018-11-07,research,35.9198146407,-79.0765741189,Pyrus calleryana,Callery pear
18481978,2018-11-18,research,34.7860588509,-77.4293334662,Pyrus calleryana,Callery pear
18483193,2018-11-18,research,35.7760781355,-78.6484646425,Pyrus calleryana,Callery pear
18519130,2018-11-20,needs_id,35.9104482253,-79.0494207462,Pyrus calleryana,Callery pear
18556815,2018-11-22,needs_id,36.529295,-76.6229466667,Pyrus calleryana,Callery pear
18561361,2018-11-22,needs_id,36.1915245056,-79.4524459839,Pyrus calleryana,Callery pear
18628945,2018-11-25,needs_id,35.2514577814,-81.1887801207,Pyrus calleryana,Callery pear
18657009,2018-11-26,needs_id,35.9077508144,-79.0626572029,Pyrus calleryana,Callery pear
18800241,2018-11-28,research,35.7765216667,-78.645125,Pyrus calleryana,Callery pear
19072105,2018-12-17,needs_id,34.7243278474,-77.1676317976,Pyrus calleryana,Callery pear
19090641,2018-12-14,research,35.7762410707,-78.648805283,Pyrus calleryana,Callery pear
19133094,2018-11-10,research,35.9313689791,-79.3496665347,Pyrus calleryana,Callery pear
19139343,2018-12-17,needs_id,34.7246016423,-77.1675703582,Pyrus calleryana,Callery pear
19290135,2018-12-29,needs_id,35.8499798454,-75.7848940962,Pyrus calleryana,Callery pear
19399364,2019-01-03,research,35.83643529,-78.80553205,Pyrus calleryana,Callery pear
19502884,2010-10-30,needs_id,35.7609594538,-81.3694327019,Pyrus calleryana,Callery pear
19555970,2019-01-10,research,35.81999941,-78.84367537,Pyrus calleryana,Callery pear
20208403,2019-02-08,research,35.8372199,-78.7842777,Pyrus calleryana,Callery pear
20210727,2019-02-08,research,35.4100774136,-78.7322334667,Pyrus calleryana,Callery pear
20213012,2019-02-08,research,35.4165178826,-78.7386778848,Pyrus calleryana,Callery pear
20243581,2019-02-09,research,35.6794204712,-78.6268692017,Pyrus calleryana,Callery pear
20292223,2019-02-11,research,35.9047431946,-78.5791854858,Pyrus calleryana,Callery pear
20366173,2019-02-15,research,35.1841545105,-80.7957382202,Pyrus calleryana,Callery pear
20419285,2019-02-17,research,35.8960283333,-78.9113616667,Pyrus calleryana,Callery pear
20455460,2019-02-18,research,35.3624333333,-80.6161583333,Pyrus calleryana,Callery pear
20757055,2019-02-25,needs_id,35.69952548,-78.72280224,Pyrus calleryana,Callery pear
20837452,2019-02-28,research,35.6084416667,-80.37348,Pyrus calleryana,Callery pear
20843430,2019-02-28,research,35.6940892119,-78.7650953986,Pyrus calleryana,Callery pear
20857014,2019-03-01,research,35.74322459,-78.68118464,Pyrus calleryana,Callery pear
20863220,2019-03-01,research,35.7213762166,-78.6868765522,Pyrus calleryana,Callery pear
20885130,2019-03-02,research,36.0599512767,-79.9146248254,Pyrus calleryana,Callery pear
20888316,2019-03-02,research,36.4242792735,-75.969607886,Pyrus calleryana,Callery pear
20918383,2019-03-03,needs_id,35.69823833,-80.46504008,Pyrus calleryana,Callery pear
20958418,2019-03-04,research,35.0693666667,-80.8465633333,Pyrus calleryana,Callery pear
21079452,2019-03-09,research,35.160391205,-80.8589179349,Pyrus calleryana,Callery pear
21109811,2019-03-10,research,35.3445054763,-80.6100871003,Pyrus calleryana,Callery pear
21127254,2019-03-10,needs_id,35.7015691186,-81.295379391,Pyrus calleryana,Callery pear
21127308,2019-03-10,needs_id,35.701517067,-81.295361789,Pyrus calleryana,Callery pear
21150003,2019-03-11,needs_id,35.5256870758,-80.6340943728,Pyrus calleryana,Callery pear
21163812,2019-03-11,needs_id,35.8940024666,-78.6775666103,Pyrus calleryana,Callery pear
21192167,2019-03-12,research,35.7680168152,-78.6301116943,Pyrus calleryana,Callery pear
