id,observed_on,quality_grade,latitude,longitude,scientific_name,common_name
86359,2012-06-02,research,36.0758127889,-79.0075535211,Cercis canadensis,eastern redbud
230262,2013-04-06,research,35.3133333333,-80.7283333333,Cercis canadensis,eastern redbud
236561,2013-04-14,research,35.9849649701,-79.0576587444,Cercis canadensis,eastern redbud
269248,2013-05-08,research,35.040399,-80.803572,Cercis canadensis,eastern redbud
377084,2013-08-25,research,36.003928,-78.942131,Cercis canadensis,eastern redbud
443945,2013-10-20,research,36.0955,-79.7855,Cercis canadensis,eastern redbud
606042,2014-03-29,research,35.811104,-78.714353,Cercis canadensis,eastern redbud
610192,2014-04-06,research,35.98136,-78.942967,Cercis canadensis,eastern redbud
610671,2014-04-05,research,35.931768,-79.017298,Cercis canadensis,eastern redbud
610910,2014-04-06,research,36.026302,-79.10969,Cercis canadensis,eastern redbud
630890,2014-04-17,research,35.809911,-78.715744,Cercis canadensis,eastern redbud
633540,2014-04-19,research,35.565007,-82.487957,Cercis canadensis,eastern redbud
649411,2014-04-25,research,35.828983,-82.186195,Cercis canadensis,eastern redbud
701803,2014-05-27,research,35.80056,-78.790735,Cercis canadensis,eastern redbud
701932,2014-05-27,research,35.613013,-82.567132,Cercis canadensis,eastern redbud
710526,2014-06-01,research,35.67707,-79.180415,Cercis canadensis,eastern redbud
725272,2014-04-12,research,35.94644,-79.025627,Cercis canadensis,eastern redbud
767093,2014-07-03,research,35.632827,-82.556242,Cercis canadensis,eastern redbud
847835,2014-08-23,research,35.99663,-78.9506383333,Cercis canadensis,eastern redbud
1360363,2015-04-02,research,35.479246,-82.537789,Cercis canadensis,eastern redbud
1362503,2015-04-03,research,35.978785,-79.060792,Cercis canadensis,eastern redbud
1364438,2015-04-04,research,35.853827,-78.74716684,Cercis canadensis,eastern redbud
1381155,2015-04-09,research,35.49632,-82.6100166667,Cercis canadensis,eastern redbud
1390638,2015-04-11,research,36.089726,-79.838428,Cercis canadensis,eastern redbud
1394371,2015-04-13,research,35.633765,-82.556685,Cercis canadensis,eastern redbud
1502375,2015-05-17,research,35.98489775,-79.05766343,Cercis canadensis,eastern redbud
1542793,2015-05-25,research,36.01310526,-78.97108846,Cercis canadensis,eastern redbud
1603216,2015-06-07,research,36.075145,-80.247396,Cercis canadensis,eastern redbud
1619311,2015-05-04,research,35.054166,-78.858314,Cercis canadensis,eastern redbud
1637122,2015-06-15,research,35.509684,-82.597964,Cercis canadensis,eastern redbud
1749287,2015-07-12,research,35.529529,-82.976623,Cercis canadensis,eastern redbud
1749451,2015-07-12,research,35.52950738,-82.9767680448,Cercis canadensis,eastern redbud
1769581,2015-07-16,research,35.305395,-83.184357,Cercis canadensis,eastern redbud
1769746,2015-07-16,research,35.3052859381,-83.1843641494,Cercis canadensis,eastern redbud
1889709,2015-08-21,research,35.116813,-80.72368,Cercis canadensis,eastern redbud
1916354,2015-09-03,research,36.00029132,-78.93758936,Cercis canadensis,eastern redbud
1957111,2015-09-04,research,36.003678,-78.9421688,Cercis canadensis,eastern redbud
1972484,2015-09-12,research,35.81168,-78.71393,Cercis canadensis,eastern redbud
2006780,2015-09-07,research,35.085694,-78.873109,Cercis canadensis,eastern redbud
2114160,2015-10-04,research,35.628325,-82.363932,Cercis canadensis,eastern redbud
2145559,2015-10-16,research,35.995242,-79.441967,Cercis canadensis,eastern redbud
2163642,2015-10-17,research,36.02182412,-79.04775319,Cercis canadensis,eastern redbud
2163656,2015-10-17,research,36.021328,-79.047235,Cercis canadensis,eastern redbud
2163940,2015-10-17,research,36.021368,-79.047205,Cercis canadensis,eastern redbud
2196712,2015-10-17,research,36.029388,-79.049117,Cercis canadensis,eastern redbud
2789839,2016-03-14,research,35.8121324461,-78.7130304461,Cercis canadensis,eastern redbud
2805249,2016-03-19,research,35.884626,-78.937765,Cercis canadensis,eastern redbud
2808841,2016-03-18,research,36.186225,-78.554855,Cercis canadensis,eastern redbud
2812509,2016-03-18,research,36.1554995737,-80.3108272624,Cercis canadensis,eastern redbud
2814120,2016-03-20,research,36.1506820508,-80.2928786301,Cercis canadensis,eastern redbud
2825625,2016-03-24,research,35.6128366667,-82.56578,Cercis canadensis,eastern redbud
2829953,2016-03-25,research,36.14232,-78.845122,Cercis canadensis,eastern redbud
2838463,2016-03-27,research,36.164025,-78.9656616667,Cercis canadensis,eastern redbud
